dataset,seed,cell_id,family,sym,augmented,cost_selected,sigma_selected,eps_selected,cv_mape_min,n_failed_lhs,elapsed_sec,MAPE,RMSPE,MAAPE,MASE,MSE,R2
boston_ablation,8,A2,A,FALSE,TRUE,73.13509891296282,3.4744353968291413,9.371752454104021,13.617688564911168,0,973.03,12.602066486878766,18.4964969624467,7.747185723530997,0.28005647802282746,19.833929545188607,0.6953815718961753
boston_ablation,8,A3,A,TRUE,FALSE,28.003111003755226,2.661362808342493,3.31654701410294,NA,NA,662.7600000000002,11.988680042627337,17.28735226899155,7.4177319963643304,0.27992437666733433,22.74613217842168,0.6506546514725584
boston_ablation,8,A4,A,TRUE,TRUE,73.13509891296282,3.4744353968291413,9.371752454104021,13.620322482879095,0,1493.5,12.603494618507488,18.495650138518506,7.7482045997478695,0.2800646048212696,19.829988572306632,0.6954420991336939
boston_ablation,8,B1,B,FALSE,FALSE,38429.21102962047,4.988755386675761,NA,NA,NA,331.94000000000005,10.121913626224163,14.26551488294174,6.324541858859425,0.23909796821298618,15.728536976448893,0.7584340410596542
boston_ablation,8,B2,B,FALSE,TRUE,3591.914330465577,2.1614719317663393,NA,12.869450642861734,0,790.5,11.812671515417529,16.548806636290774,7.338632339896315,0.2765298566021293,19.979596212643276,0.6931443575728076
boston_ablation,8,B3,B,TRUE,FALSE,49103.92195071478,3.048572473066692,NA,NA,NA,488.6700000000001,11.776030657483664,17.151747871317742,7.278542734007363,0.2647726649782972,17.5935433244524,0.7297904331029899
boston_ablation,8,B4,B,TRUE,TRUE,3591.914330465577,2.1614719317663393,NA,12.869450642861699,0,1444.3000000000002,11.812671515417449,16.548806636290816,7.338632339896258,0.27652985660212426,19.979596212642583,0.6931443575728182
boston_ablation,9,A1,A,FALSE,FALSE,9.944659848813922,4.282347817651885,3.0880304026480587,NA,NA,325.25,11.50465473926133,23.49604850140028,6.6850690726616016,0.17167895577284933,6.096888636574523,0.9074365928479168
boston_ablation,9,A2,A,FALSE,TRUE,89.77256418951508,2.226385443102644,8.706040517719561,12.966450488437289,0,723.5899999999992,16.207761218781275,30.431523461750658,9.190938771820962,0.2522446085898338,10.726923631754962,0.8371430644707821
boston_ablation,9,A3,A,TRUE,FALSE,15.450190293752122,2.2547301538969764,1.025737093865386,NA,NA,344.10000000000036,14.105377006661673,29.606328302630757,7.884323241852707,0.21079538566319797,8.899787049744354,0.8648827850798395
boston_ablation,9,A4,A,TRUE,TRUE,89.77256418951508,2.226385443102644,8.706040517719561,12.965843976504722,0,1108.8799999999992,16.202309463012984,30.427534250927735,9.187675534654678,0.25214903196720184,10.720332640170367,0.8372431293848632
boston_ablation,9,B1,B,FALSE,FALSE,9032.954531961868,4.201814683597457,NA,NA,NA,261.35000000000036,11.606500838654206,21.644352436964308,6.885789574832504,0.17835372205459754,6.308690387844594,0.9042210032403377
boston_ablation,9,B2,B,FALSE,TRUE,7889.940310141775,2.226385443102644,NA,12.513808102742287,0,585,14.469596363117038,30.67876664535075,8.034486762995945,0.2160288850409869,9.289909855522348,0.8589599122404185
boston_ablation,9,B3,B,TRUE,FALSE,21397.031637931934,2.1509838711047164,NA,NA,NA,252.59000000000015,14.864275759571797,32.088250039842805,8.16439205999111,0.2187930800365046,9.445599624295738,0.8565962188362231
boston_ablation,9,B4,B,TRUE,TRUE,7889.940310141775,2.226385443102644,NA,12.513808102742352,0,1109.039999999999,14.469596363117324,30.678766645351878,8.03448676299603,0.21602888504098763,9.289909855522513,0.858959912240416
boston_ablation,10,A1,A,FALSE,FALSE,76.18189516009306,4.182832688225616,4.189460191893931,NA,NA,503.03000000000003,9.955227846631178,17.963243149240324,6.009169552509977,0.23171887629731308,9.80206631967322,0.9052512927099962
boston_ablation,10,A2,A,FALSE,TRUE,28.16862436661145,4.018231273284437,1.8270312703127285,14.185198279009917,0,947.71,12.954616684459703,18.655909892144706,7.992174288620316,0.3548597759957324,25.77430507349831,0.7508604811099088
boston_ablation,10,A3,A,TRUE,FALSE,86.90664392432134,3.239428460359929,3.9042426228953677,NA,NA,617.4100000000001,11.716572489272279,19.46259003044623,7.092193332216724,0.2912408537670266,14.999383346375271,0.855013000742108
boston_ablation,10,A4,A,TRUE,TRUE,28.16862436661145,4.018231273284437,1.8270312703127285,14.182019839663624,0,1474.5900000000001,12.947461242778294,18.641832052189887,7.988279363318805,0.3549899735897919,25.821978110205247,0.750399664129768
boston_ablation,10,B1,B,FALSE,FALSE,52813.57650211354,4.744580798716473,NA,NA,NA,363.03999999999996,9.199076261264132,15.189350235455477,5.653793339424285,0.22118290201417948,8.630931081977378,0.9165717170179548
boston_ablation,10,B2,B,FALSE,TRUE,11600.778659693418,2.403444153448543,NA,13.267096721618458,0,801.31,12.131303836845442,20.196201553944963,7.318271158391531,0.2977928550077038,14.387571480353342,0.8609268949680547
boston_ablation,10,B3,B,TRUE,FALSE,89546.83157877208,3.6118406991914807,NA,NA,NA,524.6099999999997,11.483785650180565,18.344494339740198,7.005863305408274,0.28704605799631816,13.5135552787305,0.8693753080427629
boston_ablation,10,B4,B,TRUE,TRUE,11600.778659693418,2.403444153448543,NA,13.267096721618588,0,1459.6100000000006,12.131303836845182,20.19620155394396,7.318271158391424,0.29779285500770725,14.387571480353852,0.8609268949680499
boston_ablation,11,A1,A,FALSE,FALSE,10.522234044404769,4.9934395459338115,6.836078673086213,NA,NA,424.47,9.545637811885282,13.56737036282601,5.971398138112863,0.21628199439571325,16.323315538985515,0.7667541824448362
boston_ablation,11,A2,A,FALSE,TRUE,5.2077349286281,1.8482723279078552,6.404227185528552,13.910239477284065,0,923.3599999999999,9.938027900583409,14.549925743476516,6.194890833023197,0.22090384842644695,17.36558033411019,0.7518611355226464
boston_ablation,11,A3,A,TRUE,FALSE,30.94195575860543,2.5820326873095243,1.9213014505532806,NA,NA,632.3100000000002,10.637782961117402,15.000609397157044,6.6318288173288265,0.229867310988985,17.695855638138777,0.7471417920092258
boston_ablation,11,A4,A,TRUE,TRUE,5.2077349286281,1.8482723279078552,6.404227185528552,13.910312774320547,0,1477.2299999999998,9.935765329556551,14.549509636571148,6.193376334333576,0.2208469588419482,17.362351361282347,0.7519072747034579
boston_ablation,11,B1,B,FALSE,FALSE,5119.010628672801,4.8261309694080445,NA,NA,NA,363.7000000000003,9.769488350858719,13.847806503757228,6.107673132324533,0.22122882413733433,16.393645372220334,0.7657492310051489
boston_ablation,11,B2,B,FALSE,TRUE,4777.192847710324,2.5058743522277767,NA,13.185272509462289,0,779.6400000000003,10.413361135085927,14.438079741724497,6.50921465485949,0.23380574428724776,18.169302285540894,0.740376655963285
boston_ablation,11,B3,B,TRUE,FALSE,31328.505367455724,2.5731565015220075,NA,NA,NA,419.8599999999997,10.407387513279334,14.226973873053328,6.51066314092756,0.22892320665390728,16.00603181664499,0.771287887686122
boston_ablation,11,B4,B,TRUE,TRUE,4777.192847710324,2.5058743522277767,NA,13.185272509462342,0,1445.5,10.413361135086026,14.438079741724815,6.509214654859545,0.23380574428725268,18.169302285541875,0.740376655963271
boston_ablation,12,A1,A,FALSE,FALSE,154.03427937163073,5.269844606195776,1.864546739599044,NA,NA,485.16000000000076,12.263933911772282,22.407539853493496,7.26464961515102,0.21398144649330073,9.374393851342887,0.8539139379699909
boston_ablation,12,A2,A,FALSE,TRUE,6.621153449374402,2.49822312281748,4.996847514892995,12.734324711550128,0,737,14.12820811928937,23.13150030251365,8.453160524757259,0.25455400574397347,14.292741345018754,0.7772687672592098
boston_ablation,12,A3,A,TRUE,FALSE,504.0177630311537,4.0135518546068,1.7269412062784124,NA,NA,554.5900000000001,15.79931911088887,26.188994492910293,9.333911197668854,0.2670055330413741,15.173846131083682,0.7635380524553315
