dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
energy_efficiency,29,b6,Log-SVR,Log-SVR,baseline,2.529843776630799,3.7933171941575883,1.6074814003150022,0.04730816367434363,0.501020540383089,0.9948166401361523,10,0.01,NA,0.224,NA,NA,NA,NA,NA
energy_efficiency,29,b7a,QR (τ = 0.5),QR,baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
energy_efficiency,30,m1,SVR-MAPE,SVR-MAPE,psvr,2.60623696601475,5.870864399870601,1.639771179391351,0.04816330837289229,1.0211625112639233,0.9899906588878394,100,0.1,2.236,0.10000608036968646,NA,NA,NA,NA,NA
energy_efficiency,30,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,5.5092625202508705,9.039271771849332,3.4737497889946614,0.13179814947807567,8.400577989572371,0.9176583063817488,100,0.1,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,30,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,8.976530967247236,11.956648129560541,5.652921609941117,0.20829897778922635,12.005223575710941,0.8823259015371492,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
energy_efficiency,30,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,8.976530967247236,11.956648129560541,5.652921609941117,0.20829897778922635,12.005223575710941,0.8823259015371492,100,NA,2.236,0.10000608036968646,NA,NA,NA,NA,NA
energy_efficiency,30,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,10.814488747822086,14.746218077305143,6.7536343179264335,0.24110834002166404,15.491990950330125,0.8481489280913468,100,NA,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,30,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,10.814488747822086,14.746218077305143,6.7536343179264335,0.24110834002166404,15.491990950330125,0.8481489280913468,100,NA,2.236,0.10000608036968646,odd,NA,NA,NA,NA
energy_efficiency,30,b1,ε-SVR (MSE),SVR-MSE,baseline,6.422104880583905,10.751664554906062,4.003277268667099,0.10681676874375497,3.127044931340325,0.9693489928923287,100,NA,0.266,7.0665385267680465,NA,NA,NA,NA,NA
energy_efficiency,30,b2,Random Forest,RF,baseline,2.4130779957950725,5.713592621573127,1.5182175074056337,0.045148827881443455,0.9589232479730252,0.9906007224281442,NA,NA,NA,NA,NA,4,NA,NA,NA
energy_efficiency,30,b3,XGBoost,XGB,baseline,1.8301639350123164,5.625075851351362,1.145877973388207,0.03194284066232132,0.81149406207813235,0.9920458097626602,NA,NA,NA,NA,NA,NA,300,0.1,6
energy_efficiency,30,b4,Linear Regression,LR,baseline,10.200511169648085,14.194565680720237,6.381763973024005,0.20000884103572317,9.957821159324258,0.9023943519095695,NA,NA,NA,NA,NA,NA,NA,NA,NA
energy_efficiency,30,b5,WLS (1/y²),WLS,baseline,10.017345491924944,13.833576524667704,6.268019397682942,0.21092825567202886,11.595745945695375,0.8863395636442235,NA,NA,NA,NA,NA,NA,NA,NA,NA
energy_efficiency,30,b6,Log-SVR,Log-SVR,baseline,3.307709990066956,8.992564352265713,2.033115831055716,0.057022193939616,2.1023224636517286,0.9793932283702791,100,0.01,NA,0.224,NA,NA,NA,NA,NA
energy_efficiency,30,b7a,QR (τ = 0.5),QR,baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
