dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2
electricity,2,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,3.7355355470994183,5.515756610679294,2.370624600068308,0.5387070820750366,115.01436324962742,0.8211315705179234
electricity,3,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,3.531678667263822,5.310048889656638,2.2413376114803985,0.5171241102453772,109.12196032923148,0.8190062191107533
electricity,4,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,3.612511788954765,5.3523006962160125,2.2927616625753053,0.5329429972944306,111.90934324225393,0.819903265317162
electricity,5,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,3.0626837443039663,4.397463595207943,1.9460332634075976,0.45697554795588563,78.49597227116976,0.8708431982131112
electricity,6,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,3.1533103536976013,4.447609945026069,2.0036876653005837,0.47148235975181646,80.4931425560696,0.8601459926117807
electricity,7,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,2.9818442601431383,4.234165969860598,1.8948640001115626,0.44922501534186954,74.74919403109814,0.8686043734004274
electricity,8,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,2.5240353689929194,3.391479565132338,1.6053039991153886,0.38506855245035265,51.038694869306774,0.9112482884183198
electricity,9,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,2.2637270695840326,2.8661041361078134,1.4403450769270318,0.3485876858974386,38.32882482320094,0.9324437466288356
electricity,10,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,2.216878435069488,2.8477880344867352,1.41052141135754,0.34217091933808763,37.94994109564011,0.9319401790746521
electricity,1,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,4.386411878050321,5.697165086850055,2.7860401725744746,0.65739840711883,137.27972240314867,0.7923746770407093
electricity,2,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,3.943286517227291,5.0756586247314415,2.5059688021836175,0.5981832604798891,114.90199307645713,0.8213063267468648
electricity,3,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,3.8795127950840813,5.023626262434382,2.4654585414431867,0.594356616666606,114.22399326479466,0.8105437957044752
electricity,4,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,3.9297978460978613,5.025273585235881,2.497535373099758,0.6058236329031543,114.52390813523893,0.8156956220033802
electricity,5,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,3.5966413772885764,4.580219452118843,2.286500329360651,0.5606754593027369,99.31160140558555,0.8365932869323695
electricity,6,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,3.6299919319757525,4.584843797235688,2.3077233024253228,0.5655077794497397,99.43872789297252,0.8272287036658844
electricity,7,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,3.4582492136833225,4.453353458272495,2.1985447614812657,0.5428043664000926,95.7296900304677,0.8317244383865449
electricity,8,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,3.148994622262243,3.971511902860297,2.002660061484141,0.4990411838317939,80.75148453369174,0.8595804127931053
electricity,9,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,2.9883082881136347,3.832559106427268,1.9005019454450098,0.4761700371673072,76.56892796035672,0.8650438691635234
electricity,10,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,2.9975867394578435,3.843059811969133,1.9063894410317042,0.4789378561936061,77.2699229488201,0.861423312738256
electricity,1,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,4.398614575758692,5.699643807090567,2.7938074835285063,0.6593741468510774,137.31922334877876,0.7923149348118493
electricity,2,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,3.955029190231817,5.077695878703521,2.5134463368146127,0.6000909517904393,114.91561025487002,0.8212851495369244
electricity,3,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,3.8923900033025287,5.025580805847853,2.4736581377800277,0.5964443886363958,114.23337008295175,0.810528242961784
electricity,4,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,3.933017797857885,5.027573623439593,2.4995846806356528,0.605805426281915,114.53005305063792,0.8156857329345482
electricity,5,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,3.6002130111993957,4.581755777437163,2.2887773837954777,0.5607265376692459,99.2905255837676,0.8366279649631305
electricity,6,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,3.6275682004305705,4.586086801276564,2.306183938361079,0.5647710257149057,99.40703946951028,0.8272837611884047
electricity,7,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,3.452011550507598,4.450520447731377,2.1945843589969853,0.5415749607475174,95.5836638343095,0.831981126151448
electricity,8,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,3.1442272703639897,3.9724720951638997,1.9996239111795977,0.4980200894791525,80.72718511693029,0.8596226672988981
electricity,9,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,2.9825466964170304,3.832980082722986,1.8968335143867603,0.4749981259784699,76.52542952132845,0.8651205370911679
electricity,10,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,2.991939961819503,3.843607641468784,1.902794021318334,0.477790173895189,77.23297166617743,0.8614895815546761
electricity,1,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,4.144700154892768,5.999063274069819,2.629755602995336,0.6061350999431092,139.38895585707104,0.7891846190379614
electricity,2,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,3.6471919085572644,5.16989289660814,2.3163441943225678,0.5404046685799007,108.5130979486833,0.831242230449173
electricity,3,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,3.5019665051233275,5.00978952546542,2.224225420666341,0.5270445559097142,104.76976909624206,0.8262249269128783
electricity,4,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,3.564371571208332,5.018475459544732,2.2639885265925304,0.5400076262685258,105.49154042303282,0.8302314943827009
electricity,5,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,3.1388596687088848,4.286434859867209,1.9952113723382037,0.4824057950869025,81.26274871153593,0.8662907608592235
electricity,6,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,3.2024761828116683,4.309645421741069,2.03568215275602,0.49187684750912225,82.06655717210015,0.8574122399920244
electricity,7,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,3.0564161713627356,4.172718099885771,1.94286164934652,0.4727030258220611,78.48896956879027,0.8620305212474212
electricity,8,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,2.64925082869712,3.5049986912134354,1.6850109638472655,0.41568903841902044,59.63732160339521,0.8962960479298728
electricity,9,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,2.431087917603552,3.1851220959260482,1.546509068502443,0.3847725066056677,51.3074965788102,0.9095682621445739
electricity,10,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,2.405033481949051,3.176394143785994,1.5299170608807278,0.3818843979496657,51.28254023647874,0.9080293564541877
electricity,1,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,4.146142571782647,6.006583384063852,2.630624533353748,0.6056819849004622,139.45484968422778,0.7890849595477982
electricity,2,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,3.6516062428484326,5.176743066515501,2.3191220232119316,0.5404268171891519,108.52945825067883,0.8312167871789491
electricity,3,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,3.5049698339477233,5.01416435374176,2.2261123553456903,0.5269315944038669,104.73721428238015,0.8262789235495702
electricity,4,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,3.5714712111520157,5.02453721898055,2.2684788126003137,0.5404273130882223,105.52625742280878,0.8301756239958639
electricity,5,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,3.146631854572234,4.287027446508125,2.000158513466975,0.4829836261502309,81.10973254159158,0.866542532747129
electricity,6,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,3.2040203365969537,4.308827774041505,2.036666374018574,0.4916065819260291,81.85914025890973,0.8577726195919334
electricity,7,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,3.058189666670955,4.167816081125762,1.9440000700349471,0.47246579092064833,78.17212461538537,0.8625874776364122
electricity,8,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,2.652618489224136,3.506051000821473,1.6871446842036333,0.41567259299506515,59.495206526794384,0.8965431732986187
electricity,9,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,2.4362984863744472,3.185229525076055,1.549819807867193,0.38504313222476044,51.14224856112842,0.9098595191033533
electricity,10,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,2.4069757633300237,3.1752712684825775,1.5311476857817503,0.381649505587932,51.08002920922031,0.9083925418466468
electricity,1,b1,ε-SVR (MSE),SVR-MSE,baseline,4.3603643714171945,6.276433450789224,2.7658025468654874,0.6491586504304527,165.89717586404873,0.7490929169010518
electricity,2,b1,ε-SVR (MSE),SVR-MSE,baseline,3.8417860575341245,5.535985281094348,2.4386762493016985,0.5797107507748249,136.62077283740987,0.7875296408065432
electricity,3,b1,ε-SVR (MSE),SVR-MSE,baseline,3.729253660812358,5.43331808038726,2.3672578496307173,0.5699248602369594,134.01057295510728,0.7777250316517486
electricity,4,b1,ε-SVR (MSE),SVR-MSE,baseline,3.7678212166060794,5.379361682447043,2.392213141620719,0.581434956824192,131.1638678320219,0.7889167819188899
electricity,5,b1,ε-SVR (MSE),SVR-MSE,baseline,3.3629378364577245,4.795301001864624,2.1361646283889795,0.5262123450720789,109.90131968370306,0.8191690280175186
electricity,6,b1,ε-SVR (MSE),SVR-MSE,baseline,3.4275801350927484,4.817242607950971,2.1773062115196984,0.536040974125908,110.5612476350821,0.8079037163589835
electricity,7,b1,ε-SVR (MSE),SVR-MSE,baseline,3.2837627719455336,4.723067552218635,2.085853105286455,0.5169605654706334,107.76487297356444,0.8105687533715227
electricity,8,b1,ε-SVR (MSE),SVR-MSE,baseline,2.846391570266134,3.955143850285451,1.8094293797271812,0.4555170893087083,83.18526400048353,0.8553482886401811
electricity,9,b1,ε-SVR (MSE),SVR-MSE,baseline,2.6247102607249917,3.6959572511038012,1.6686407588216596,0.4239118031579757,75.42798199829011,0.8670548370147871
electricity,10,b1,ε-SVR (MSE),SVR-MSE,baseline,2.581836926371308,3.6778428328653843,1.6413531933800554,0.41807181857754305,74.94259100136819,0.8655971741726711
electricity,1,b2,Random Forest,RF,baseline,4.943327875063122,6.056937269243311,3.140249730484484,0.7523118100073808,172.8388979900592,0.738594080852462
electricity,2,b2,Random Forest,RF,baseline,5.337425287304065,6.528093591970413,3.3894541737645807,0.8093490765096751,194.21296927451016,0.6979632124399475
electricity,3,b2,Random Forest,RF,baseline,4.699276560638039,5.844448401316613,2.985391900914341,0.7260380215303697,165.86781112954907,0.724885420188712
electricity,4,b2,Random Forest,RF,baseline,4.761486999386723,5.959604870593284,3.024545859152105,0.7432016061605768,178.3754564838014,0.7129387383611787
electricity,5,b2,Random Forest,RF,baseline,4.791153082494873,6.126330385031472,3.0426379415345055,0.748433222782635,188.4487129945289,0.689927618360514
electricity,6,b2,Random Forest,RF,baseline,4.412659473259302,5.675838293294152,2.8031999215128316,0.6944421075500193,164.74580707542148,0.7137599478880479
electricity,7,b2,Random Forest,RF,baseline,4.311941808326196,5.4949248673682085,2.7396475911591085,0.6818846945488397,158.40822894993528,0.7215468504885024
electricity,8,b2,Random Forest,RF,baseline,4.476220802064035,5.550045691225998,2.8441769608106595,0.7049637010784661,159.14342247791848,0.7232638654250616
electricity,9,b2,Random Forest,RF,baseline,4.528368487180166,5.616906312370416,2.877139643690821,0.7130058015042411,163.46081086061213,0.7118930724932857
electricity,10,b2,Random Forest,RF,baseline,4.266489000586004,5.456032520250204,2.710773729785686,0.6721500921897379,152.51264179848252,0.7264822344915588
electricity,1,b4,Linear Regression,LR,baseline,5.4672100198738836,6.511661942373961,3.4721738256526145,0.8312519562808705,188.6864930647831,0.7146257773920659
electricity,2,b4,Linear Regression,LR,baseline,5.0635506622363895,6.000077826891688,3.217120939932975,0.7776137187283496,167.3172979406818,0.7397909142627768
electricity,3,b4,Linear Regression,LR,baseline,5.016499618812673,5.986084268417522,3.187178021844412,0.7730392219566405,166.96272261440512,0.7230693588864292
electricity,4,b4,Linear Regression,LR,baseline,5.070097149971159,6.016615567380941,3.221255247743544,0.784913412123127,169.13828025939486,0.7278042109616598
electricity,5,b4,Linear Regression,LR,baseline,4.781620484934216,5.710235244992927,3.0384358301745054,0.7459535826867569,156.3054409507458,0.7428159653167019
electricity,6,b4,Linear Regression,LR,baseline,4.745959088007835,5.69122806940177,3.0157571659220412,0.742439639869675,155.7288670161647,0.7294265644670689
electricity,7,b4,Linear Regression,LR,baseline,4.559681128504503,5.560716552551039,2.8973850725376242,0.7176465159164773,151.15412664485476,0.7342982564420826
electricity,8,b4,Linear Regression,LR,baseline,4.310465624186791,5.283515739064223,2.7393847091956216,0.6819846546808727,140.0684486251506,0.7564335336962429
electricity,9,b4,Linear Regression,LR,baseline,4.182050088189318,5.217448484527671,2.657705503242073,0.6635253851306113,137.3523550809906,0.757910383535661
electricity,10,b4,Linear Regression,LR,baseline,3.9795549836352526,5.032190029188152,2.529118650637826,0.6353851926444568,130.21006583356063,0.7664799072816475
electricity,1,ts1,ARIMAX,ARIMAX,baseline,7.113364030839005,10.309082346677537,4.485131176493994,1.0755137734979072,464.87676065642484,0.296908633861389
electricity,2,ts1,ARIMAX,ARIMAX,baseline,6.631494900851196,9.836072488647824,4.181828291021559,1.0105763134434425,432.51525527517305,0.3273594510087394
electricity,3,ts1,ARIMAX,ARIMAX,baseline,6.516030141489358,9.78830089160822,4.108221826135155,0.9993127513710149,428.52830660336747,0.2892268595963553
electricity,4,ts1,ARIMAX,ARIMAX,baseline,6.426704215188699,9.572871244095344,4.0547723577214505,0.994754902831483,421.9523976127656,0.3209481281902382
electricity,5,ts1,ARIMAX,ARIMAX,baseline,6.0205676288776235,9.197521459665502,3.7987392490330305,0.9410516415204316,398.1629900306787,0.3448650052436506
electricity,6,ts1,ARIMAX,ARIMAX,baseline,5.280225009719187,8.208726173113314,3.3357313128706005,0.8418790708372366,340.0952608772397,0.4090964321054785
electricity,7,ts1,ARIMAX,ARIMAX,baseline,4.525941079900454,6.672542987837959,2.8681076661578553,0.7446200972562781,267.9277182813455,0.5290313041726588
electricity,8,ts1,ARIMAX,ARIMAX,baseline,4.0587000402967375,6.171003212007642,2.572564084557033,0.679508519266131,244.4092956207226,0.5749941614228703
electricity,9,ts1,ARIMAX,ARIMAX,baseline,3.9953958740501054,5.939953648727063,2.533077035957945,0.6712252863408529,232.53544012036238,0.5901459754373306
electricity,10,ts1,ARIMAX,ARIMAX,baseline,3.7570043721550825,5.802039876828127,2.381421967234022,0.6376388444056446,227.4045233868253,0.5921703514554464
electricity,1,ts2,ETS,ETS,baseline,6.814575138847691,9.614515404680422,4.3050839426660925,1.0529879151675248,450.3932748316719,0.3188138240038165
electricity,2,ts2,ETS,ETS,baseline,7.933590066912191,10.747357088108638,5.00323820333847,1.178885015372581,476.33818274299273,0.25920676129238573
electricity,3,ts2,ETS,ETS,baseline,10.95398847650971,13.61347062421311,6.888032512161274,1.606564844746746,714.5815556072969,-0.18523180038984344
electricity,4,ts2,ETS,ETS,baseline,6.593243683219274,9.498836140756866,4.162869892503005,1.0208551499417144,421.66300034819784,0.321413857868072
electricity,5,ts2,ETS,ETS,baseline,6.24383182861607,9.102433109679353,3.9450900584505444,1.0028263128441144,435.8270649352483,0.2828927623860039
electricity,6,ts2,ETS,ETS,baseline,5.570577184604352,8.311811056940329,3.522181880917098,0.9116429679239677,387.9394479257843,0.325968837921793
electricity,7,ts2,ETS,ETS,baseline,4.891064604379257,7.37977874488525,3.0961216297626555,0.824273470363731,343.3575347749139,0.3964392658111503
electricity,8,ts2,ETS,ETS,baseline,4.7781086879182455,7.37715223540839,3.0236955263556746,0.8141619817854293,351.7770870338442,0.38829120436136666
electricity,9,ts2,ETS,ETS,baseline,4.020192019073045,6.281875091045107,2.546601863631743,0.6837589798745218,264.35904773659615,0.5340554558551739
electricity,10,ts2,ETS,ETS,baseline,4.137085663224268,5.993901754944452,2.623138029817477,0.690861768457271,236.52504096472845,0.5758135199248202
electricity,1,ts3,Prophet + regressors,Prophet,baseline,7.5282038652203145,9.12750600136047,4.767496531619316,1.1530887746515817,410.5129847359787,0.3791297830244227
electricity,2,ts3,Prophet + regressors,Prophet,baseline,7.4689459713111885,9.00972274948244,4.73062429791536,1.1490204375738176,404.8198381013857,0.3704309042930085
electricity,3,ts3,Prophet + regressors,Prophet,baseline,7.4482848168285,9.009549980139761,4.717482455190409,1.1478175284345864,405.0379939808278,0.32818877416420544
electricity,4,ts3,Prophet + regressors,Prophet,baseline,7.270501988395855,8.891883662008631,4.604715233756074,1.1278833667955475,398.4207391897804,0.35881784237913716
electricity,5,ts3,Prophet + regressors,Prophet,baseline,7.059155768939377,8.740234873897805,4.4707892699943805,1.1009213842630619,390.41657188868396,0.35761091517477006
electricity,6,ts3,Prophet + regressors,Prophet,baseline,6.774610499448701,8.332115382334923,4.292369298599206,1.0682346542731316,369.8793291181802,0.35734765988033923
electricity,7,ts3,Prophet + regressors,Prophet,baseline,6.393564411065869,7.735501431155625,4.053812940435261,1.0189700424323493,339.7464418475855,0.40278691710085124
electricity,8,ts3,Prophet + regressors,Prophet,baseline,6.3126499482807965,7.6456041794279965,4.00276509130221,1.0057162984835402,333.22973605703055,0.4205433837854978
electricity,9,ts3,Prophet + regressors,Prophet,baseline,6.356979679322998,7.683105879305894,4.030814968042644,1.0132866525442068,336.2952763033883,0.4072646631282718
electricity,10,ts3,Prophet + regressors,Prophet,baseline,6.103221964386822,7.4526840114880315,3.870165508833796,0.9779021670098283,322.86216290994065,0.42097562323369364
