dataset,seed,model_id,label,abbrev,family,MAPE,RMSPE,MAAPE,MASE,MSE,R2,cost_selected,epsilon_selected,sigma_selected,gamma_selected,sym_type_selected,mtry_selected,xgb_trees_selected,xgb_lr_selected,xgb_depth_selected
diabetes,4,b4,Linear Regression,LR,baseline,45.52788376369,78.19646838539227,22.12981780592167,0.5444402164067674,3017.1408648543293,0.47327944307502245,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,4,b5,WLS (1/y²),WLS,baseline,36.33834192214069,49.31246174037534,20.464279705502616,0.6571898053551092,5132.126514983146,0.10405358673504295,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,4,b6,Log-SVR,Log-SVR,baseline,44.52508952693378,86.32339127911028,20.766122067173082,0.5637314678058573,3723.165445228506,0.35002445537813054,1,0.01,NA,0.224,NA,NA,NA,NA,NA
diabetes,4,b7a,QR (τ = 0.5),QR,baseline,44.41991585292174,78.71981684981334,21.507506320899218,0.5333308203880734,2958.319309718748,0.4835482782630349,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,5,m1,SVR-MAPE,SVR-MAPE,psvr,32.67950252178402,40.97863329329267,19.052259037123672,0.5340688762034781,3503.8491128412597,0.33370823988626563,99.62898505209044,0.10828106417175627,6.724707837940232,0.011056639836458078,NA,NA,NA,NA,NA
diabetes,5,m2,SVR-MAPE + Sym. Kernel,SVR-MAPE+SK,psvr,33.88435007363484,42.6652769379675,19.625539971180576,0.5553737680249301,3847.213565312241,0.26841407394774974,72.25383963589913,0.01782488212561035,4.250331287053756,0.027677345839077126,odd,NA,NA,NA,NA
diabetes,5,m3a,LS-RMSPE (MAPE opt.),LS-RMSPE-M,psvr,43.347965774608184,50.4212532551938,24.83818644878116,0.8126752368701218,8469.203035355178,-0.6105031967576726,99.26920630294312,NA,3.194660923084468,0.04899146938384455,NA,NA,NA,NA,NA
diabetes,5,m3b,LS-RMSPE (RMSPE opt.),LS-RMSPE-R,psvr,43.28922664219298,50.39873180497484,24.801201973936923,0.8118447850803048,8462.708405812462,-0.6092681783507887,99.86669844616011,NA,2.8754155392104037,0.06047401085243325,NA,NA,NA,NA,NA
diabetes,5,m4a,LS-RMSPE + Sym. Kernel (MAPE opt.),LS-RMSPE+SK-M,psvr,43.39173159904768,50.413570091212776,24.870033781551076,0.8139430547647182,8500.361189193987,-0.616428229627116,99.79392315843656,NA,3.2063476842063525,0.04863498392794014,odd,NA,NA,NA,NA
diabetes,5,m4b,LS-RMSPE + Sym. Kernel (RMSPE opt.),LS-RMSPE+SK-R,psvr,43.39173159904768,50.413570091212776,24.870033781551076,0.8139430547647182,8500.361189193987,-0.616428229627116,99.79392315843656,NA,3.2063476842063525,0.04863498392794014,odd,NA,NA,NA,NA
diabetes,5,b1,ε-SVR (MSE),SVR-MSE,baseline,40.95623161105141,61.9799309331671,21.259116751909644,0.5204068631303183,3293.296879022626,0.37374684142100356,0.6123485274595744,NA,0.26634396765973456,7.048298269909767,NA,NA,NA,NA,NA
diabetes,5,b2,Random Forest,RF,baseline,40.76142514900748,59.813563266151505,21.380047717524494,0.5034530770260373,2950.3230407430583,0.43896672818574767,NA,NA,NA,NA,NA,3,NA,NA,NA
diabetes,5,b3,XGBoost,XGB,baseline,38.63391913427441,54.386421512331815,20.876646222205473,0.4990629884559278,2953.519133477757,0.4383589593620605,NA,NA,NA,NA,NA,NA,101,0.05829537570248548,3
